iter	Logloss
0	0.6890802147
1	0.6851571746
2	0.6817592359
3	0.6777396091
4	0.6742639383
5	0.6712524682
6	0.6684104514
7	0.6655703879
8	0.6627698889
9	0.6598485262
10	0.6573733552
11	0.6547988432
12	0.65191541
13	0.649576902
14	0.6476729932
15	0.6454781326
16	0.6436494393
17	0.6413602082
18	0.6395349774
19	0.6376741226
20	0.636033778
21	0.6345696993
22	0.6330084279
23	0.631623745
24	0.6302393807
25	0.6286776265
26	0.6272906779
27	0.6258797128
28	0.6245373444
29	0.6233086716
30	0.6220338182
31	0.6208066298
32	0.6198535934
33	0.6190483191
34	0.6181607126
35	0.6171777928
36	0.6163550325
37	0.6152952208
38	0.6142340132
39	0.6129092064
40	0.6125484911
41	0.6119192813
42	0.6107006323
43	0.6098279764
44	0.6088866967
45	0.6080071883
46	0.6074069883
47	0.6067074823
48	0.6058217827
49	0.6050552991
50	0.6041368714
51	0.6036383734
52	0.6026749876
53	0.6019104458
54	0.6011101149
55	0.6004109392
56	0.5999338229
57	0.5991159192
58	0.5986637422
59	0.5981822954
60	0.5977222962
61	0.5972762768
62	0.596686988
63	0.5957625103
64	0.5950027066
65	0.5944799831
66	0.5940272199
67	0.593546792
68	0.5930081996
69	0.5926091447
70	0.5919570724
71	0.5914554611
72	0.5911633874
73	0.5905998806
74	0.5902659174
75	0.5897202745
76	0.5893800611
77	0.5890153957
78	0.5880234302
79	0.5872629777
80	0.5869266667
81	0.5866095887
82	0.5857961475
83	0.5854417544
84	0.5850565991
85	0.5848125186
86	0.584546632
87	0.5842780041
88	0.583960954
89	0.5836617475
90	0.5833687191
91	0.5830183762
92	0.5827545949
93	0.582510494
94	0.5822215333
95	0.5816334783
96	0.5809738411
97	0.5806658203
98	0.5803876984
99	0.5799054381
100	0.5796111238
101	0.5792216367
102	0.5790592391
103	0.5787944938
104	0.5785255432
105	0.5783595585
106	0.5778533176
107	0.5772885057
108	0.5769194742
109	0.5767242525
110	0.5764360853
111	0.5761371573
112	0.5759053332
113	0.5755904311
114	0.5753286618
115	0.5750768722
116	0.5745254047
117	0.574201201
118	0.5739729297
119	0.5738321325
120	0.573467823
121	0.5732364285
122	0.572903685
123	0.5725424786
124	0.5722923945
125	0.5719553598
126	0.5713702371
127	0.5710385282
128	0.5708319022
129	0.5705990786
130	0.5703929294
131	0.5702354418
132	0.5699812072
133	0.5697137024
134	0.5695506221
135	0.5693163856
136	0.569122382
137	0.5689755049
138	0.5688333592
139	0.5686040047
140	0.5683795902
141	0.5679673241
142	0.5678270409
143	0.5675642304
144	0.5673995794
145	0.5671534726
146	0.5669421315
147	0.5667921341
148	0.5663781079
149	0.5661879104
150	0.5659539834
151	0.5656914122
152	0.5653700816
153	0.5652727257
154	0.5651247417
155	0.5649710946
156	0.5646744339
157	0.5643888727
158	0.564259592
159	0.5641199873
160	0.5639609807
161	0.5637713286
162	0.5634936879
163	0.563254285
164	0.5630673624
165	0.562859452
166	0.5626592538
167	0.5625318141
168	0.562359411
169	0.5622386261
170	0.5621047268
171	0.5619462301
172	0.5617427685
173	0.5615700626
174	0.5614311709
175	0.5613146727
176	0.5612008879
177	0.5610256272
178	0.5608673353
179	0.56064564
180	0.5604933043
181	0.5602617555
182	0.559768032
183	0.5595474125
184	0.559396463
185	0.5593371483
186	0.5591620948
187	0.5589482183
188	0.5588058687
189	0.5585285431
190	0.5583164404
191	0.558093937
192	0.5579846559
193	0.5576944591
194	0.5575479456
195	0.5574121865
196	0.5572568566
197	0.5571553452
198	0.5570375331
199	0.5569588989
200	0.556797474
201	0.5566498395
202	0.5564994709
203	0.5561991977
204	0.5560024087
205	0.5558739516
206	0.5557164155
207	0.5554412122
208	0.5553017694
209	0.5550946983
210	0.5549734716
211	0.5548605926
212	0.5543590091
213	0.5541324878
214	0.5540228246
215	0.5538387735
216	0.5533406213
217	0.553162098
218	0.5530536716
219	0.5527617186
220	0.5526802279
221	0.5524326295
222	0.5522113837
223	0.5519424318
224	0.5518779777
225	0.5517115038
226	0.5515632236
227	0.551321092
228	0.5511465029
229	0.5510327595
230	0.550837157
231	0.5507421095
232	0.5505329275
233	0.5504165355
234	0.5502388268
235	0.5500743236
236	0.5498938212
237	0.5498111514
238	0.5496595664
239	0.5495623979
240	0.549492951
241	0.5493390453
242	0.5491769449
243	0.5491559854
244	0.5487913254
245	0.5486464379
246	0.5484451052
247	0.548370487
248	0.5482630639
249	0.5481286833
250	0.5479809172
251	0.547872068
252	0.5477752881
253	0.5476954584
254	0.5475245639
255	0.5473558016
256	0.5471813524
257	0.5470201354
258	0.5468862343
259	0.5467281582
260	0.5466126683
261	0.5465274831
262	0.5463673591
263	0.5461641407
264	0.5460649661
265	0.5459508572
266	0.5458612707
267	0.5456570943
268	0.5454659786
269	0.5452982209
270	0.5451627245
271	0.5449921207
272	0.5447455155
273	0.5446368085
274	0.544450117
275	0.5443779942
276	0.5442770986
277	0.5441187082
278	0.5440407396
279	0.5439160808
280	0.5437307981
281	0.543604337
282	0.5435480493
283	0.5434769863
284	0.5432922205
285	0.5431830468
286	0.543083885
287	0.5429395599
288	0.5427712073
289	0.5426743262
290	0.5425952032
291	0.5425303357
292	0.542329739
293	0.5422400735
294	0.5420707249
295	0.5418443601
296	0.5416441284
297	0.5415683982
298	0.5414058341
299	0.5412781692
300	0.5411251154
301	0.5409645234
302	0.5408557618
303	0.5407071196
304	0.5406117823
305	0.5405431202
306	0.5404382468
307	0.5403468912
308	0.5402095386
309	0.5400050363
310	0.5398408889
311	0.5396350981
312	0.5394509432
313	0.5393826265
314	0.539178334
315	0.5390203145
316	0.5387931225
317	0.5386400771
318	0.5384573434
319	0.5382813368
320	0.5381281948
321	0.538017767
322	0.5378209747
323	0.537560045
324	0.5375064943
325	0.5374228845
326	0.5372912957
327	0.5371693942
328	0.5370074652
329	0.5368398234
330	0.5367235329
331	0.536355722
332	0.5361329455
333	0.5360536058
334	0.5359421302
335	0.5357850727
336	0.5356983957
337	0.5355352813
338	0.5353882531
339	0.5353239297
340	0.5350870887
341	0.534888293
342	0.5348295192
343	0.534628851
344	0.5345596137
345	0.5344001436
346	0.5342933677
347	0.5341696661
348	0.5340601369
349	0.5338747377
350	0.5337758912
351	0.5333208488
352	0.5332233065
353	0.5330380516
354	0.5329069867
355	0.532782438
356	0.5326146
357	0.5324749532
358	0.5323252314
359	0.5321578402
360	0.5320347523
361	0.5318821157
362	0.5317313617
363	0.531575568
364	0.5314623487
365	0.5313029461
366	0.5309702381
367	0.5308497866
368	0.5307065193
369	0.5305612742
370	0.5304317356
371	0.5302880773
372	0.5301086092
373	0.5300122603
374	0.529574296
375	0.5293664344
376	0.5292448088
377	0.5290809987
378	0.528866184
379	0.5287211323
380	0.5285705604
381	0.5284561815
382	0.5281644932
383	0.5278464203
384	0.5276244766
385	0.5275065098
386	0.5274598063
387	0.5273022218
388	0.5272170034
389	0.5270769993
390	0.5268491423
391	0.5266047194
392	0.5264450646
393	0.526280778
394	0.5261282401
395	0.5259969369
396	0.5258548351
397	0.5256883277
398	0.5255427458
399	0.5254070963
400	0.5252328129
401	0.5250817638
402	0.5249177438
403	0.5247509045
404	0.5245908495
405	0.5244526507
406	0.5242857843
407	0.5240938387
408	0.5239207049
409	0.5238053761
410	0.5236331491
411	0.5234763482
412	0.5233285832
413	0.5231397621
414	0.5229639332
415	0.5227860394
416	0.522543117
417	0.5224815514
418	0.5223439255
419	0.5222553961
420	0.5220777777
421	0.521731467
422	0.5216304893
423	0.5214840999
424	0.5213084397
425	0.5212142891
426	0.5210754374
427	0.5209483133
428	0.5208400089
429	0.5206987771
430	0.520578666
431	0.5204431329
432	0.5203254144
433	0.5201619982
434	0.5198815899
435	0.5195783312
436	0.5194777638
437	0.5193938138
438	0.5192504037
439	0.5190924222
440	0.5189674495
441	0.5188177273
442	0.5186725971
443	0.5185135699
444	0.518366447
445	0.5182589842
446	0.5180986856
447	0.517962468
448	0.5178343569
449	0.51770311
450	0.5175590523
451	0.5173640489
452	0.5172289418
453	0.5170816259
454	0.5169456343
455	0.5167294372
456	0.5166446999
457	0.5164538344
458	0.5163197482
459	0.5161549267
460	0.5160084216
461	0.5158721343
462	0.5156664121
463	0.5155513057
464	0.5154294034
465	0.5152947844
466	0.5152164671
467	0.515076895
468	0.5148360123
469	0.5146990266
470	0.5145807652
471	0.5144236879
472	0.5142940849
473	0.5141364436
474	0.5139542551
475	0.5138777251
476	0.5137004282
477	0.5135688982
478	0.5134400007
479	0.5133379059
480	0.513234304
481	0.5131769641
482	0.5130255161
483	0.5129069329
484	0.51259294
485	0.512491586
486	0.5123252347
487	0.5121927418
488	0.5120161837
489	0.5119170094
490	0.5118290532
491	0.5116642394
492	0.5115481267
493	0.5113951836
494	0.5111789187
495	0.5110496159
496	0.5109356823
497	0.5108865085
498	0.5107780475
499	0.510664002
500	0.5105185671
501	0.5104209606
502	0.510308698
503	0.5101388137
504	0.5100126889
505	0.509919735
506	0.5098169319
507	0.5097317823
508	0.5095808392
509	0.5094282803
510	0.5093072683
511	0.5091911167
512	0.5090151731
513	0.5087776213
514	0.5085486738
515	0.5084641891
516	0.5083027662
517	0.5081535275
518	0.5079920546
519	0.5078466144
520	0.5077644757
521	0.5075980311
