iter	Passed	Remaining
408	4856	7017
409	4867	7004
410	4878	6991
411	4889	6977
412	4899	6963
413	4909	6949
414	4920	6935
415	4930	6921
416	4941	6909
417	4953	6896
418	4963	6882
419	4975	6871
420	4987	6858
421	4996	6844
422	5008	6831
423	5018	6818
424	5028	6803
425	5039	6790
426	5051	6778
427	5061	6764
428	5073	6753
429	5084	6740
430	5094	6725
431	5105	6713
432	5116	6699
433	5126	6685
434	5136	6671
435	5146	6657
436	5157	6644
437	5169	6633
438	5180	6620
439	5190	6606
440	5202	6594
441	5212	6580
442	5222	6566
443	5233	6553
444	5243	6539
445	5254	6526
446	5265	6514
447	5277	6502
448	5287	6489
449	5299	6476
450	5309	6463
451	5319	6449
452	5330	6436
453	5340	6422
454	5351	6410
455	5362	6397
456	5372	6384
457	5386	6374
458	5398	6363
459	5410	6350
460	5420	6337
461	5431	6324
462	5441	6310
463	5452	6298
464	5463	6285
465	5473	6272
466	5484	6260
467	5496	6248
468	5507	6235
469	5518	6222
470	5528	6209
471	5538	6195
472	5549	6182
473	5559	6169
474	5569	6155
475	5580	6143
476	5592	6131
477	5602	6118
478	5614	6107
479	5625	6094
480	5635	6080
481	5647	6069
482	5658	6057
483	5668	6042
484	5679	6030
485	5690	6018
486	5700	6005
487	5712	5993
488	5723	5980
489	5732	5966
490	5744	5954
491	5755	5942
492	5764	5928
493	5776	5916
494	5788	5904
495	5798	5892
496	5810	5880
497	5824	5870
498	5833	5857
499	5844	5844
500	5856	5832
501	5865	5818
502	5875	5805
503	5887	5794
504	5896	5780
505	5908	5768
506	5920	5757
507	5930	5743
508	5941	5731
509	5952	5718
510	5961	5705
511	5974	5694
512	5986	5682
513	5995	5669
514	6008	5658
515	6020	5647
516	6031	5634
517	6041	5621
518	6052	5609
519	6061	5595
520	6072	5583
521	6084	5571
522	6093	5557
523	6106	5547
524	6118	5536
525	6128	5522
526	6138	5509
527	6150	5497
528	6159	5484
529	6170	5471
530	6181	5459
531	6190	5445
532	6203	5435
533	6215	5423
534	6224	5410
535	6235	5398
536	6247	5386
537	6256	5372
538	6268	5361
539	6281	5350
540	6290	5337
541	6301	5325
542	6313	5313
543	6322	5300
544	6334	5288
545	6345	5276
546	6355	5262
547	6367	5251
548	6379	5240
549	6388	5227
550	6399	5214
551	6411	5203
552	6421	5190
553	6433	5179
554	6445	5167
555	6454	5154
556	6465	5142
557	6477	5131
558	6487	5117
559	6498	5105
560	6509	5093
561	6518	5080
562	6532	5070
563	6544	5059
564	6555	5047
565	6565	5034
566	6577	5023
567	6588	5010
568	6598	4998
569	6611	4987
570	6624	4977
571	6637	4966
572	6650	4955
573	6663	4945
574	6677	4935
575	6689	4924
576	6701	4912
577	6713	4901
578	6726	4891
579	6739	4880
580	6752	4869
581	6763	4857
582	6776	4847
583	6789	4836
584	6802	4825
585	6814	4814
586	6827	4803
587	6840	4792
588	6853	4782
589	6865	4771
590	6878	4760
591	6891	4749
592	6904	4738
593	6916	4727
594	6928	4716
595	6941	4705
596	6955	4695
597	6968	4684
598	6980	4673
599	6992	4661
600	7005	4650
601	7018	4640
602	7029	4628
603	7041	4616
604	7056	4606
605	7069	4596
606	7082	4585
607	7092	4572
608	7105	4561
609	7118	4550
610	7130	4539
611	7141	4527
612	7154	4517
613	7168	4506
614	7182	4496
615	7193	4484
616	7205	4472
617	7217	4461
618	7231	4450
619	7242	4438
620	7254	4427
621	7268	4416
622	7282	4406
623	7295	4395
624	7305	4383
625	7318	4372
626	7331	4361
627	7344	4350
628	7356	4339
629	7370	4328
630	7384	4318
631	7397	4307
632	7410	4296
633	7422	4284
634	7434	4273
635	7447	4262
636	7461	4251
637	7473	4240
638	7485	4229
639	7499	4218
640	7513	4207
641	7526	4196
642	7537	4184
643	7549	4173
644	7563	4162
645	7576	4151
646	7589	4140
647	7601	4129
648	7614	4118
649	7627	4107
650	7640	4096
651	7651	4084
652	7664	4073
653	7678	4062
654	7692	4051
655	7705	4040
656	7716	4028
657	7729	4017
658	7742	4006
659	7755	3995
660	7766	3983
661	7779	3971
662	7792	3961
663	7806	3950
664	7819	3938
665	7830	3926
666	7843	3915
667	7856	3904
668	7868	3893
669	7879	3881
670	7894	3870
671	7908	3860
672	7921	3849
673	7934	3837
674	7945	3825
675	7958	3814
676	7971	3803
677	7986	3793
678	7999	3782
679	8010	3769
680	8023	3758
681	8036	3747
682	8048	3735
683	8059	3723
684	8071	3711
685	8086	3701
686	8098	3689
687	8110	3677
688	8123	3666
689	8136	3655
690	8149	3644
691	8161	3632
692	8171	3620
693	8184	3608
694	8198	3598
695	8212	3587
696	8222	3574
697	8234	3562
698	8245	3550
699	8255	3537
700	8266	3526
701	8277	3513
702	8287	3501
703	8298	3489
704	8310	3477
705	8320	3465
706	8334	3454
707	8346	3442
708	8358	3430
709	8369	3418
710	8381	3406
711	8392	3394
712	8402	3382
713	8414	3370
714	8426	3358
715	8436	3346
716	8447	3334
717	8459	3322
718	8468	3309
719	8479	3297
720	8491	3285
721	8500	3273
722	8513	3261
723	8525	3249
724	8534	3237
725	8545	3225
726	8557	3213
727	8566	3200
728	8577	3188
729	8590	3177
730	8599	3164
731	8610	3152
732	8622	3140
733	8632	3128
734	8644	3116
735	8655	3104
736	8664	3092
737	8676	3080
738	8686	3067
739	8696	3055
740	8707	3043
741	8717	3031
742	8727	3018
743	8738	3006
744	8749	2994
745	8759	2982
746	8771	2970
747	8781	2958
748	8792	2946
749	8803	2934
750	8813	2922
751	8824	2910
752	8835	2898
753	8846	2886
754	8857	2874
755	8868	2862
756	8878	2849
757	8889	2837
758	8900	2825
759	8909	2813
760	8920	2801
761	8931	2789
762	8942	2777
763	8954	2765
764	8965	2754
765	8974	2741
766	8985	2729
767	8996	2717
768	9006	2705
769	9017	2693
770	9027	2681
771	9039	2669
772	9053	2658
773	9067	2647
774	9115	2646
775	9140	2638
776	9153	2627
777	9164	2615
778	9174	2602
779	9185	2590
780	9196	2578
781	9205	2566
782	9216	2554
783	9227	2542
784	9236	2529
785	9249	2518
786	9260	2506
787	9269	2493
788	9281	2482
789	9291	2469
790	9300	2457
791	9313	2445
792	9323	2433
793	9334	2421
794	9347	2410
795	9357	2398
796	9367	2386
797	9379	2374
798	9389	2362
799	9399	2349
800	9411	2338
801	9421	2326
802	9431	2313
803	9443	2302
804	9453	2290
805	9465	2278
806	9478	2266
807	9488	2254
